time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1786248416657627100,-82.55337280273437,41.32059356689453,-1,-1,35.298811640695504,5.046919555664061,-1,90.14709434991734,30,139.48558794709885,-1
1786248499262500000,0.0515,41.29202342516028,-1,-1,35.30612979870902,2.1980521727188775,-1,196.96842683649967,30,139.48424656313924,-1
1786248499263146000,0.05214599609375,41.29202342516028,-1,-1,35.30616876651936,2.1980521727188775,-1,198.90400728444018,30,139.48424181290488,-1
1786248499276357000,0.065357177734375,41.30157161241614,-1,-1,35.30616679406744,2.1980521727188775,-1,198.88442348655786,30.00002997621819,139.48424233986395,-1
1786248500207147000,0.99614697265625,41.29202342516028,-1,-1,35.30619065029292,2.1980521727188775,-1,199.16572368725355,30,139.48423941377428,-1
1786248500383162000,1.172162109375,38.0368278074845,-1,9.195058500312333,35.30619065029292,2.1980521727188775,212.6953125,199.41993919904726,30.00752234062777,139.48423941377428,-1
1786248500694145000,1.48314501953125,38.591696939997796,-1,13.220509034834803,35.30619065029292,2.318022928767325,212.6953125,201.2168230978466,30.035648642784185,139.48423941377428,-1
1786248501703246000,2.49224609375,38.71810915841771,1.3700000047683716,75.28106778650574,35.30571469738814,2.4444351471872428,194.765625,279.08258889429203,28.983400535566354,139.48428061800266,5.010000228881836
1786248502699699000,3.488698974609375,39.48175048828125,0.3100000023841858,54.45628887509502,35.29994919603356,3.2080764770507812,194.765625,4.927668877458334,3,139.4848185784641,1.0399999618530273
1786248503038676000,3.827676025390625,38.7423095703125,0.9900000095367432,87.52668172298984,35.2999461524828,2.4686355590820312,308.671875,4.857241470376823,3,139.48481857565878,0.6100000143051147
1786248504039417000,4.8284169921875,39.083251953125,1.0199999809265137,60.056357560493886,35.299947109205355,2.8095779418945312,108.6328125,6.042027466191663,3,139.48481361168672,0.6100000143051147
1786248505020995000,5.8099951171875,39.51116943359375,1.0700000524520874,54.86989098028514,35.2999443569088,3.2374954223632812,161.71875,6.987864305825758,3,139.48481888570177,1.0299999713897705
1786248506019683300,6.808683349609375,39.5927734375,1.0700000524520874,54.86989098028514,35.299940310638256,3.3190994262695312,161.71875,7.862612818422653,3,139.4848217248899,0
1786248507018391300,7.807391357421875,39.66192626953125,0.07000000029802322,54.86989098028514,35.299935570371225,3.3882522583007812,161.71875,8.648620833486977,3,139.48482241715368,0
1786248508017092600,8.806092529296874,39.81451416015625,0.10999999940395355,54.86989098028514,35.29993593048635,3.5408401489257812,161.71875,9.302001782769167,3,139.4848221772863,0
1786248509015924500,9.804924560546874,39.87353515625,0.10000000149011612,54.86989098028514,35.29993582155889,3.5998611450195312,161.71875,9.907023166433332,3,139.48482243646467,0
1786248510014821000,10.803821044921875,39.65863037109375,0.07000000029802322,54.86989098028514,35.29993598272333,3.3849563598632812,161.71875,10.471039205469552,3,139.4848219544909,0
1786248511013758700,11.8027587890625,39.66094970703125,0.07999999821186066,54.86989098028514,35.29993591160305,3.3872756958007812,161.71875,10.999617015850427,3,139.48482209560459,0
1786248512012791000,12.801791015625,39.81451416015625,0.10999999940395355,54.86989098028514,35.29993579023046,3.5408401489257812,161.71875,11.497437422564774,3,139.48482222775542,0
1786248513011908900,13.800908935546875,39.81451417785138,0.3080157138848601,-1,35.2999355977718,3.54084016662091,-1,11.968060028609864,3,139.48482229586895,0
1786248514011051300,14.80005126953125,39.8593139834702,0.7185619110417696,-1,35.29991274701466,3.5856399722397327,-1,21.65449201901771,3,139.48483177780852,0
1786248515010269700,15.799269775390625,39.917785664089024,0.7185619110417696,-1,35.29990999565129,3.6441116528585553,-1,21.766205452279298,3,139.48483304554162,0
1786248516009545700,16.798545654296873,39.96728517487645,0.7185619110417696,-1,35.29990941071912,3.6936111636459827,-1,21.767744964398766,3.0000000000000004,139.48483316511692,0
1786248517008851000,17.797850830078126,39.969177265651524,0.7185619110417696,-1,35.29990937154281,3.6955032544210553,-1,21.767766210139563,3.0000000000000004,139.4848332629834,0
1786248518008216300,18.79721630859375,39.969177265651524,0.7185619110417696,-1,35.2999093669404,3.6955032544210553,-1,21.76776650336018,3.0000000000000013,139.48483326463366,0
1786248519007632600,19.796632568359374,39.969177265651524,0.7185619110417696,-1,35.2999093663997,3.6955032544210553,-1,21.76776650740756,3.000000000000005,139.4848332648275,0
1786248520007095800,20.796095703125,39.969177265651524,1.1068536595247989,-1,35.29990936201822,3.6955032544210553,-1,20.824478925800864,3,139.48483326743525,0
1786248521006592800,21.7955927734375,39.969177265651524,0.7185619110417696,-1,35.299909365816966,3.6955032544210553,-1,21.754913850081962,3.0000000000001203,139.48483326515932,0
1786248522006122500,22.79512255859375,39.969177265651524,1.1068536595247989,-1,35.29990936581697,3.6955032544210553,-1,23.03888947198769,3.000000000000331,139.48483326515932,0
1786248523005678300,23.79467822265625,39.969177265651524,0.7185619110417696,-1,35.29990529887279,3.6955032544210553,-1,21.722715180890553,3.000000000000461,139.4848338820023,0
1786248524005261000,24.794260986328126,39.969177265651524,0.7185619110417696,-1,35.29990530738648,3.6955032544210553,-1,21.699979287912548,3.0000000000008247,139.48483388071057,0
1786248525004870000,25.793869873046877,39.969177265651524,1.1403946472000868,-1,35.299905315865,3.6955032544210553,-1,21.677795436001436,3.0000000000008247,139.48483387942414,0
1786248526004501800,26.793501708984376,39.969177265651524,0.7185619110417696,-1,35.29990531586584,3.6955032544210553,-1,21.678276884763477,3.0000000000008247,139.484833879424,0
1786248527004164600,27.79316455078125,39.969177265651524,1.1292143179749907,-1,35.29990531586669,3.6955032544210553,-1,21.6782770129239,3.0000000000008247,139.4848338794239,0
1786248528003835600,28.792835693359375,39.969177265651524,1.2410177435059877,-1,35.29990531586754,3.6955032544210553,-1,21.67827720393724,3.0000000000008247,139.48483387942375,0
1786248529003531300,29.79253125,39.969177265651524,1.118033988749895,-1,35.29990531586839,3.6955032544210553,-1,21.678277385724222,3.0000000000008247,139.48483387942363,0
1786248530003245800,30.792245849609376,39.969177265651524,1.1068536595247989,-1,35.29990531586924,3.6955032544210553,-1,21.678277575167392,3.0000000000008247,139.4848338794235,0
1786248531002977300,31.791977294921875,39.969177265651524,0.7185619110417696,-1,35.299905315870085,3.6955032544210553,-1,21.6782777572192,3.0000000000008247,139.48483387942338,0
1786248532002726000,32.79172583007813,39.969177265651524,0.7185619110417696,-1,35.299905315870944,3.6955032544210553,-1,21.6782779321285,3.0000000000008247,139.48483387942323,0
1786248533002489600,33.79148950195312,39.969177265651524,0.7185619110417696,-1,35.29990762331207,3.6955032544210553,-1,14.220781757901614,16.674244710044093,139.48483352931854,0
1786248534002266600,34.7912666015625,39.969177265651524,0.7185619110417696,-1,35.299907623312926,3.6955032544210553,-1,14.2207820204419,16.614988665432257,139.48483352931842,0
1786248535002057200,35.79105712890625,39.969177265651524,0.7185619110417696,-1,35.29990762331378,3.6955032544210553,-1,14.220782291632675,16.663504556338346,139.48483352931828,0
1786248536001862000,36.79086181640625,39.969177265651524,0.7185619110417696,-1,35.29990762331464,3.6955032544210553,-1,14.220782537964245,16.77683311962492,139.48483352931817,0
1786248537001677600,37.79067749023437,39.969177265651524,0.7185619110417696,-1,35.29990762331549,3.6955032544210553,-1,14.220782758589996,16.81890085199518,139.48483352931805,0
1786248538001501700,38.79050170898437,39.969177265651524,0.49303623762619797,180,35.29990762331635,3.6955032544210553,268.6420931310116,14.22078303924201,16.837260242607844,139.4848335293179,0
1786248539001339000,39.7903388671875,39.969177265651524,0.7185619110417696,-1,35.299907625393786,3.6955032544210553,-1,14.220443467001816,16.93023747467396,139.4848335290027,0
1786248540001185500,40.790185546875,39.969177265651524,0.7185619110417696,-1,35.29990762539464,3.6955032544210553,-1,14.22044373355988,16.978017155490342,139.48483352900254,0
1786248541001040400,41.790040283203126,39.969177265651524,0.7185619110417696,-1,35.29990762539549,3.6955032544210553,-1,14.220443990150775,16.882468142128715,139.48483352900243,0
1786248542000905000,42.789905029296875,39.969177265651524,0.7185619110417696,-1,35.29990762539635,3.6955032544210553,-1,14.22044423150612,17.15869743680317,139.4848335290023,0
1786248543000775700,43.789775634765626,39.969177265651524,0.7185619110417696,-1,35.29990762539721,3.6955032544210553,-1,14.220444517389172,17.31895650533684,139.48483352900217,0
1786248544000656000,44.78965576171875,39.969177265651524,0.7185619110417696,-1,35.29990762539806,3.6955032544210553,-1,14.22044473478747,17.32859617238826,139.48483352900203,0
1786248545000541700,45.78954174804687,39.969177265651524,0.7185619110417696,-1,35.29990762539891,3.6955032544210553,-1,14.220444943775316,17.37528226391558,139.4848335290019,0
1786248546000435000,46.78943505859375,39.969177265651524,0.7185619110417696,-1,35.29990762539976,3.6955032544210553,-1,14.22044517418529,17.103515288229378,139.48483352900178,0
1786248547000332800,47.78933276367187,39.969177265651524,0.7185619110417696,-1,35.29990762540062,3.6955032544210553,-1,14.220445416174174,17.018585201145132,139.48483352900166,0
1786248548000238300,48.78923828125,39.969177265651524,0.7185619110417696,-1,35.299907625401474,3.6955032544210553,-1,14.22044564209519,16.71053876718032,139.48483352900155,0
1786248549000148200,49.789148193359374,39.969177265651524,0.7185619110417696,-1,35.29990762540233,3.6955032544210553,-1,14.22044591620341,16.46100678688949,139.48483352900143,0
1786248550000063000,50.78906298828125,39.969177265651524,0.7185619110417696,-1,35.29990762540318,3.6955032544210553,-1,14.220446155070027,16.50276566640049,139.4848335290013,0
1786248550999983600,51.788983642578124,39.969177265651524,0.7185619110417696,-1,35.29990762540403,3.6955032544210553,-1,14.220446425763466,16.558833483702628,139.48483352900118,0
1786248551999907800,52.788907958984375,39.969177265651524,0.7185619110417696,-1,35.299907625404884,3.6955032544210553,-1,14.220446638680441,16.692485528070588,139.48483352900107,0
1786248552999837000,53.7888369140625,39.969177265651524,0.6584544112542269,180,35.29990762540574,3.6955032544210553,3.355106312209953,14.220446857166738,16.64775502059576,139.48483352900095,0
1786248553999769000,54.78876904296875,39.969177265651524,0.6584544112542269,180,35.29990762910373,3.6955032544210553,3.355106312209953,14.221657428827944,16.78822676074595,139.48483352843988,0
1786248554999705000,55.788705078125,39.969177265651524,0.6584544112542269,180,35.299907632786955,3.6955032544210553,3.355106312209953,14.208331591943404,16.69233770131579,139.48483352788102,0
1786248555999644700,56.78864477539062,39.969177265651524,0.7185619110417696,-1,35.299907636454904,3.6955032544210553,-1,14.193860639170124,16.715207680170018,139.48483352732447,0
1786248556999586600,57.78858666992188,39.969177265651524,0.7185619110417696,-1,35.29990763645575,3.6955032544210553,-1,14.193860906623128,16.78813403198699,139.48483352732433,0
1786248557999533000,58.788532958984376,39.969177265651524,0.7185619110417696,-1,35.2999076364566,3.6955032544210553,-1,14.193861193780954,16.785512771350568,139.4848335273242,0
1786248558999481600,59.78848168945313,39.969177265651524,0.7185619110417696,-1,35.299907636457455,3.6955032544210553,-1,14.193861478773082,16.771270194558735,139.4848335273241,0
1786248559999433000,60.788432861328126,39.969177265651524,0.7185619110417696,-1,35.2999076364583,3.6955032544210553,-1,14.19386166879885,16.846179325824828,139.48483352732396,0
1786248560999387400,61.78838745117187,38.78014492522925,0.5667216844761769,101.71771933390167,35.29990556869514,2.5064709139987826,10.394996764551816,14.193861944448669,16.95188481792119,139.48480845363943,0.41506575286259173
